user_id,completed,avg_latency_s,avg_throughput_bytes_per_s,total_bytes
0,50018,0.0135092,1.92727e+08,130226061312
1,30971,0.00696132,2.48679e+08,53614870528
2,17890,0.0226439,2.23267e+08,90445578240
3,11724,0.00441582,2.55303e+08,13217300480
4,1996,0.0261088,2.61516e+08,13628473344
5,3506,0.0282152,2.61392e+08,25857490944
6,1861,0.0231901,2.6172e+08,11294998528
7,5550,0.0246771,2.56016e+08,35063463936
8,177,0.0304576,2.62144e+08,1413218304
9,933,0.026913,2.61853e+08,6575095808
10,51,0.0257745,2.62144e+08,344588288
11,829,0.0269855,1.98105e+08,4431806464
12,1590,0.0275345,2.61468e+08,11447042048
13,2435,0.0337939,1.81495e+08,14934867968
14,1104,0.0251965,2.61528e+08,7274889216
15,26,0.0310577,2.62144e+08,211681280
16,817,0.0294191,2.59686e+08,6241648640
17,20,0.00500395,1.99072e+08,19922944
18,742,0.0295706,1.57008e+08,3444965376
19,54,0.0287593,2.62144e+08,407109632
20,411,0.0261363,2.62144e+08,2815950848
21,135,0.0165235,1.69109e+08,377225216
22,918,0.0221605,2.61901e+08,5327945728
23,669,0.0300353,2.61301e+08,5250482176
24,3051,0.0286351,2.61392e+08,22836674560
25,860,0.042097,1.63281e+08,5911347200
26,1064,0.037705,1.57085e+08,6301941760
27,527,0.0301482,2.62134e+08,4164812800
28,52,0.0200962,2.62144e+08,273940480
29,197,0.0286112,2.60126e+08,1466171392
30,212,0.0232759,2.62144e+08,1293549568
31,1512,0.0302747,2.6199e+08,11992694784
32,122,0.0296495,2.59808e+08,939786240
33,58,0.0236752,2.55432e+08,350748672
34,741,0.0294614,2.61701e+08,5713166336
35,113,0.0277473,2.61939e+08,821297152
36,1,0.0045,2.62144e+08,1179648
37,240,0.0249649,2.19854e+08,1317273600
38,626,0.0222498,2.60189e+08,3624009728
39,145,0.0161966,2.62144e+08,615645184
40,670,0.0237216,2.60611e+08,4142006272
41,54,0.0263889,2.62144e+08,373555200
42,35,0.0221,2.62144e+08,202768384
43,24,0.0279167,2.62144e+08,175636480
44,85,0.0259882,2.62144e+08,579076096
45,1010,0.000714217,2.29307e+08,165412864
46,3,0.0206667,2.62144e+08,16252928
47,1,0.0533333,1.57286e+08,8388608
48,9,0.0311111,2.62144e+08,73400320
49,80,0.00702169,1.49334e+08,83886080
50,1,0.032,2.62144e+08,8388608
51,1,0.0005,2.62144e+08,131072
52,52,0.0225096,2.62144e+08,306839552
53,48,0.0420625,2.62144e+08,529268736
54,8,0.02225,2.62144e+08,46661632
55,194,0.025268,2.62144e+08,1285029888
56,1310,0.0237987,2.61654e+08,8157396992
57,20,0.036375,1.57286e+08,114425856
58,13,0.0281538,2.62144e+08,95944704
59,144,0.0273585,2.6177e+08,1031274496
60,4,0.000833333,1.57286e+08,524288
61,1,0.0025,2.62144e+08,655360
62,4,0.032,2.62144e+08,33554432
63,2,0.0115,2.62144e+08,6029312
64,3,0.0045,2.62144e+08,3538944
65,44,0.0219812,2.61149e+08,252575744
66,3,0.032,2.62144e+08,25165824
67,2,0.0345833,1.57286e+08,10878976
68,6,0.0259167,2.62144e+08,40763392
69,2,0.032,2.62144e+08,16777216
70,2,0.0115,2.62144e+08,6029312
71,4,0.029,2.62144e+08,30408704
72,6,0.02075,2.62144e+08,32636928
73,1,0.032,2.62144e+08,8388608
